blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17275948;2023-05-17 00:56:11;0xbfc1a791cd7f52bbf7e4bc6920d85de81bcdca470fe678557f3ef448c695cc27;6137562;0xcda861deed9e4ba5d831703800eb4500eb2cf18e50e76faa09c59bed214a1a8e;0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x33d58fc6eaaad6b60212f913af082627a1c9bdda;2434.5;Axie Infinity Shard;AXS;18;42;207128;41454809479;34517;2663046;deprecated;9617
17275955;2023-05-17 00:57:35;0x4e4edbc7010fd4eba778f33986da0be9bc9ae672458dfe8f4fb551af2f1dc3fb;6707754;0x451ebd50da37a63931fc903fffc66b58ec3c1c886a5c91c22eb86ce10764bab1;0x28c6c06298d514db089934071355e5743bf21d60;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x2a7f493caa0846a421c0065e0901dfb2da676f3c;3516.06;Axie Infinity Shard;AXS;18;47;207128;40925100429;34517;5125678;deprecated;9610
17275976;2023-05-17 01:01:47;0xc2ab8f788f8a92704c310994646b21ba7d6221985be0f97ed6be270a6471eddf;21575;0x77c4a20b51db2c75ee01b320b04feab88b88b8369f9ac515dade63fcec8caabe;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e;115.0017306142043;Axie Infinity Shard;AXS;18;58;360000;37710550224;117801;4504461;deprecated;9589
17275981;2023-05-17 01:02:59;0xaddfcf30b59d613ea991f26015a3f068170d90cd43ebd04ae2102405879af3d4;6461230;0x5ce3d704ae774eda19eed45e331c8acdf6b897ff94549d89795331d98903257c;0x21a31ee1afc51d94c2efccaa2092ad1028285549;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x896ad24b9fdddeb34fa7ea9f72aca2cda40fe1d2;260.91698104;Axie Infinity Shard;AXS;18;71;207128;42341472763;51629;10626994;deprecated;9584
17275988;2023-05-17 01:04:23;0x7a49a7364aa7284011eb85fcb23d8b406ab2d07ff521caa33e7e502c23a82480;2451815;0x3691f8d9669f252f407d3b04b0e5d0694771882545dc71af14ffb1585723b526;0x6cc5f688a315f3dc28a7781717a9a798a59fda7b;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x424c6a164e4906c57e8f6b3cbbf6e5ea75083332;2929.6;Axie Infinity Shard;AXS;18;18;420000;46437392724;51617;4826849;deprecated;9577
17276057;2023-05-17 01:18:35;0xfb2992f861de21ab5f3fa92be55e0022b5da3cb8fc3883689250d948b41d3a3d;2497;0xfa51359ff96caef453f38ee5cb935bdd069c67c59391c684c0ab06b15d865dbf;0x424c6a164e4906c57e8f6b3cbbf6e5ea75083332;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xf89d7b9c864f589bbf53a82105107622b35eaa40;2929.6;Axie Infinity Shard;AXS;18;28;90000;52352725884;29717;2340871;deprecated;9508
17276084;2023-05-17 01:24:11;0xd22ea1a26a33b832d5d6ed0161543c0e086827866491a6c58bc7b1cb5806131f;666112;0xd66132feba18f5b9d43d54606dff0ed762c27b462d16107e72c7ba91be1ee5f5;0x3c02290922a3618a4646e3bbca65853ea45fe7c6;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xddba76191cb493728be84ef18cde3e28d104b665;0.2625072;Axie Infinity Shard;AXS;18;41;85000;49000000000;51617;3162193;deprecated;9481
17276165;2023-05-17 01:40:47;0xce84d312ecd333db51e4aa5c25f15787843ef5f24953fbd1a2f54aa3682b176e;934037;0x45ac69e7104ec3fc1cb4f1caf94a0a7c0319a4211521f081ce7041293d530820;0xf89d7b9c864f589bbf53a82105107622b35eaa40;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xbf1da7614a63993ebf857226a7fc38ebcab6faae;2929.65;Axie Infinity Shard;AXS;18;44;90000;44668039209;51617;3546659;deprecated;9400
17276261;2023-05-17 02:00:11;0xd694cb80111eeb233f7861f32a6697d1b6c8dde045828b128a467126ee422c5e;510;0x6c0267ae2b03b0a4ecb1ab3777334dd442b95b67e0cbf4f5a632a1f748b9f09d;0x1a20c03abc748bde9c563504c372297dd5c5ce8f;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x28c6c06298d514db089934071355e5743bf21d60;818.4298788413228;Axie Infinity Shard;AXS;18;301;69082;38602518194;29741;15792141;deprecated;9304
17276313;2023-05-17 02:10:35;0xa41882d66847d75969a38852d45d7865ecd502950a182579bbbd14cdd82d29cc;6137784;0x996ced11b29c66717245058775dadaad7dce670d09eb1228949af9d189874d8a;0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xa68b437b38bfa3dad21915fd6513e5d8fda77574;645.54;Axie Infinity Shard;AXS;18;31;207128;42499127647;51617;2112122;deprecated;9252
